database,table,species
pec_pro,caract_biol_,aiguillat_com
pec_pro,caract_biol_,capelan
pec_pro,caract_biol_,fletan_atl
pec_pro,caract_biol_,gr_poule_mer
pec_pro,caract_biol_,hareng
pec_pro,caract_biol_,maquereau
pec_pro,caract_biol_,morue_fra
pec_pro,caract_biol_,sebaste
pec_pro,caract_biol_,turbot
pec_pro,echantillon_,aiguillat_com
pec_pro,echantillon_,buccin
pec_pro,echantillon_,capelan
pec_pro,echantillon_,couteau
pec_pro,echantillon_,fletan_atl
pec_pro,echantillon_,gr_poule_mer
pec_pro,echantillon_,hareng
pec_pro,echantillon_,limande
pec_pro,echantillon_,mactre_atl
pec_pro,echantillon_,mactre_sti
pec_pro,echantillon_,maquereau
pec_pro,echantillon_,merluche_bla
pec_pro,echantillon_,morue_fra
pec_pro,echantillon_,mye
pec_pro,echantillon_,plie_can
pec_pro,echantillon_,plie_gri
pec_pro,echantillon_,plie_rou
pec_pro,echantillon_,sebaste
pec_pro,echantillon_,turbot
pec_pro,frequence_,aiguillat_com
pec_pro,frequence_,buccin
pec_pro,frequence_,capelan
pec_pro,frequence_,couteau
pec_pro,frequence_,fletan_atl
pec_pro,frequence_,gr_poule_mer
pec_pro,frequence_,hareng
pec_pro,frequence_,limande
pec_pro,frequence_,mactre_atl
pec_pro,frequence_,mactre_sti
pec_pro,frequence_,maquereau
pec_pro,frequence_,merluche_bla
pec_pro,frequence_,morue_fra
pec_pro,frequence_,mye
pec_pro,frequence_,plie_can
pec_pro,frequence_,plie_gri
pec_pro,frequence_,plie_rou
pec_pro,frequence_,sebaste
pec_pro,frequence_,turbot
